TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
CheckEvoTime,BRANCH,1.0,3,3
CheckEvoTime,BRANCH,1.0,3,3
CheckEvoTime,BRANCH,1.0,7,7
CheckEvoTime,BRANCH,1.0,7,7
CheckEvoTime,BRANCH,1.0,7,7
CheckEvoTime,BRANCH,1.0,7,7
CheckEvoTime,BRANCH,1.0,11,11
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7981532535374274,2966,1660
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7871376075120964,2966,1640
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7954319481975698,2966,1598
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8393994467959601,2966,1871
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8851230095150032,2966,2215
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8155168153302883,2966,1784
Triangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.846302806142106,2966,1994
